Feature,SHAP_Importance,Rank_SHAP,LGBM_Importance,Feature_Category
POS_SK_ID_PREV_NUNIQUE,0.005945585911935664,116,0,Previous Loan
PREV_DOWN_PAYMENT_RATIO_MAX,0.005839087152316053,117,0,Previous Loan
NAME_HOUSING_TYPE,0.005763369636880441,118,0,Other
PREV_AMT_ANNUITY_SUM,0.005344294559446298,119,0,Previous Loan
EXT_LOW_SCORE,0.005320955221612663,120,1,Risk Flag
PREV_AMT_APPLICATION_SUM,0.005116855055983931,121,0,Previous Loan
CC_HAS_DPD_SUM,0.004702803464998455,122,0,POS/CC History
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.00468208469618756,123,0,POS/CC History
PREV_REFUSAL_RATE,0.004635711828555417,124,0,Previous Loan
PREV_AMT_CREDIT_SUM,0.004594992158930056,125,0,Previous Loan
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,0.004518218243627223,126,0,Bureau History
EXT_SOURCE_STD,0.004173167677230739,127,0,EXT_SOURCE
PREV_AMT_CREDIT_MEAN,0.0039498860034396805,128,0,Previous Loan
APARTMENTS_AVG,0.0038507834722030848,129,0,Other
YEARS_BUILD_MODE,0.0037879956826253653,130,0,Time/Age
YEARS_BEGINEXPLUATATION_MODE,0.0036928966742736146,131,0,Time/Age
OBS_60_CNT_SOCIAL_CIRCLE,0.0035160242384073555,132,0,Other
OCCUPATION_TYPE_MISSING,0.003509259793277751,133,0,Other
AMT_REQ_CREDIT_BUREAU_YEAR,0.00333456365160862,134,0,Time/Age
AMT_REQ_CREDIT_BUREAU_WEEK,0.0032940822161660606,135,0,Bureau History
LANDAREA_AVG,0.003232017640696589,136,0,Other
LIVINGAREA_AVG,0.0032210694604267757,137,0,Other
WALLSMATERIAL_MODE,0.0031949328573466725,138,0,Other
NONLIVINGAPARTMENTS_AVG,0.003151856364933001,139,0,Other
OBS_30_CNT_SOCIAL_CIRCLE,0.003123871570891006,140,0,Other
PREV_COUNT,0.0030189401608878333,141,0,Previous Loan
BUREAU_BB_HAS_DPD_MEAN_MEAN,0.002931821245619466,142,0,Bureau History
LIVINGAREA_MODE,0.0029220699649823772,143,0,Other
LIVE_CITY_NOT_WORK_CITY,0.002871462877675377,144,0,Other
FLOORSMAX_AVG,0.002859604388321536,145,0,Other
NONLIVINGAREA_MEDI,0.0028078339504317017,146,0,Other
YEARS_BEGINEXPLUATATION_AVG,0.002790338662470195,147,0,Time/Age
BUREAU_BB_HAS_DPD_SUM_MAX,0.002765647594906064,148,0,Bureau History
INST_PAID_LATE_SUM,0.0026832004036378538,149,0,Installment
LIVINGAPARTMENTS_MODE,0.002654547366348566,150,0,Other
NAME_TYPE_SUITE,0.0025366878605593036,151,0,Other
PREV_APPROVAL_RATE,0.0024845335408860752,152,0,Previous Loan
POS_SK_DPD_MEAN,0.0024481533532403673,153,0,POS/CC History
LANDAREA_MODE,0.002405835188951439,154,0,Other
APARTMENTS_MODE,0.002314074062007951,155,0,Other
ENTRANCES_MEDI,0.0022643813921552048,156,0,Other
BUREAU_BB_MONTHS_BALANCE_COUNT_MAX,0.0022532757874912214,157,0,Bureau History
BUREAU_BB_STATUS_NUM_MEAN_MEAN,0.0022104651542032895,158,0,Bureau History
BUREAU_BB_STATUS_NUM_MEAN_MAX,0.002155785778694986,159,0,Bureau History
APARTMENTS_MEDI,0.002152378948800739,160,0,Other
POS_HAS_DPD_SUM,0.0021148136233980395,161,0,POS/CC History
FLOORSMAX_MODE,0.002096128081495431,162,0,Other
NONLIVINGAREA_MODE,0.00207737728349795,163,0,Other
YEARS_BUILD_AVG,0.002068344610387507,164,0,Time/Age
BASEMENTAREA_AVG,0.0020609190706182582,165,0,Other
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.00204771159143977,166,0,Bureau History
YEARS_BUILD_MEDI,0.0020279670897030747,167,0,Time/Age
FLOORSMAX_MEDI,0.0019768589131009054,168,0,Other
AMT_REQ_CREDIT_BUREAU_MON,0.001973749787638262,169,0,Bureau History
COMMONAREA_MEDI,0.0019625869519681663,170,0,Other
INST_PAYMENT_RATIO_MAX,0.0019096670389856366,171,0,Installment
